# line,type,amount,ministry,source
1,Έσοδα,62055000000,-,11 Φόροι
2,Έσοδα,33667000000,-,111 Φόροι επί αγαθών και υπηρεσιών
3,Έσοδα,14635000000,-,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
4,Έσοδα,250000000,-,1110103 ΦΠΑ από ηλεκτρονικό εμπόριο
5,Έσοδα,14385000000,-,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
6,Έσοδα,7853000000,-,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
7,Έσοδα,2262000000,-,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
8,Έσοδα,583000000,-,1110202 ΦΠΑ στα οχήματα
9,Έσοδα,342000000,-,1110203 ΦΠΑ στην αιθυλική αλκοόλη
10,Έσοδα,12000000,-,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
11,Έσοδα,630000000,-,1110205 ΦΠΑ καπνικών προϊόντων
12,Έσοδα,85000000,-,1110206 ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
13,Έσοδα,3939000000,-,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
14,Έσοδα,7172000000,-,11103 Ειδικοί φόροι κατανάλωσης
15,Έσοδα,95000000,-,1110301 ΕΦΚ υγραερίων
16,Έσοδα,2066000000,-,1110302 ΕΦΚ βενζινών
17,Έσοδα,1449000000,-,1110303 ΕΦΚ diesel κίνησης
18,Έσοδα,253000000,-,1110304 ΕΦΚ diesel θέρμανσης
19,Έσοδα,164000000,-,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
20,Έσοδα,34000000,-,1110306 ΕΦΚ στο φυσικό αέριο
21,Έσοδα,38000000,-,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
22,Έσοδα,2334000000,-,1110310 ΕΦΚ στα προϊόντα καπνού
23,Έσοδα,353000000,-,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
24,Έσοδα,207000000,-,1110312 ΕΦΚ στη μπύρα
25,Έσοδα,1000000,-,1110313 ΕΦΚ στο κρασί
26,Έσοδα,147000000,-,1110314 Φόρος κατανάλωσης στον καφέ
27,Έσοδα,10000000,-,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
28,Έσοδα,11000000,-,1110317 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε
29,Έσοδα,10000000,-,1110318 Ειδικός φόρος πολυτελείας εμπορευμάτων
30,Έσοδα,335000000,-,11104 Φόροι με μορφή χαρτοσήμου
31,Έσοδα,335000000,-,1110404 Ψηφιακό τέλος συναλλαγής
32,Έσοδα,670000000,-,11105 Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
33,Έσοδα,110000000,-,1110501 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
34,Έσοδα,488000000,-,1110502 Φόρος στη μεταβίβαση οικοδομών
