# line,type,amount,ministry,source
1,Έσοδα,51579000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
2,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12 Κοινωνικές εισφορές
3,Έσοδα,7953000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13 Μεταβιβάσεις
4,Έσοδα,2405000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14 Πωλήσεις αγαθών και υπηρεσιών
5,Έσοδα,1869000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15 Λοιπά τρέχοντα έσοδα
6,Έσοδα,24000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31 Πάγια περιουσιακά στοιχεία
7,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43 Χρεωστικοί τίτλοι
8,Έσοδα,44000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52 Υποχρεώσεις από νόμισμα και καταθέσεις
9,Έσοδα,31554000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
10,Έσοδα,701846000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
11,Έσοδα,300000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,57 Χρηματοοικονομικά παράγωγα
12,Έσοδα,51579000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
13,Έσοδα,29114000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
14,Έσοδα,11202000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
15,Έσοδα,11202000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
16,Έσοδα,11202000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189001 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
17,Έσοδα,7709000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
18,Έσοδα,2421000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
19,Έσοδα,424000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202 ΦΠΑ στα οχήματα
20,Έσοδα,424000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202001 ΦΠΑ στα οχήματα
21,Έσοδα,310000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203 ΦΠΑ στην αιθυλική αλκοόλη
22,Έσοδα,310000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203001 ΦΠΑ στην αιθυλική αλκοόλη
23,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
24,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204001 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
25,Έσοδα,676000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205 ΦΠΑ καπνικών προϊόντων
26,Έσοδα,665000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205001 ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.
27,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205002 ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες
28,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206 ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
29,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206001 ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS
30,Έσοδα,5000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206002 ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements
31,Έσοδα,3855000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
32,Έσοδα,7115000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11103 Ειδικοί φόροι κατανάλωσης
33,Έσοδα,93000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301 ΕΦΚ υγραερίων
34,Έσοδα,90000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301001 ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.
35,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301002 ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα
36,Έσοδα,2006000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302 ΕΦΚ βενζινών
37,Έσοδα,2004000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302001 ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.
38,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302002 ΕΦΚ βενζινών  - εισαγόμενα προϊόντα
39,Έσοδα,1501000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303 ΕΦΚ diesel κίνησης
40,Έσοδα,1224000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303001 ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.
