# line,type,amount,ministry,source
1,Έσοδα,62055000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
2,Έσοδα,60000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12 Κοινωνικές εισφορές
3,Έσοδα,8131000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13 Μεταβιβάσεις
4,Έσοδα,2405000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14 Πωλήσεις αγαθών και υπηρεσιών
5,Έσοδα,2775000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15 Λοιπά τρέχοντα έσοδα
6,Έσοδα,37000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31 Πάγια περιουσιακά στοιχεία
7,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43 Χρεωστικοί τίτλοι
8,Έσοδα,20000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,44 Δάνεια
9,Έσοδα,66000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52 Υποχρεώσεις από νόμισμα και καταθέσεις
10,Έσοδα,25973000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
11,Έσοδα,1202027000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
12,Έσοδα,800000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,57 Χρηματοοικονομικά παράγωγα
13,Έσοδα,62055000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
14,Έσοδα,33667000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
15,Έσοδα,14635000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
16,Έσοδα,250000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110103 ΦΠΑ από ηλεκτρονικό εμπόριο
17,Έσοδα,14385000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
18,Έσοδα,14385000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189001 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
19,Έσοδα,7853000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
20,Έσοδα,2262000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
21,Έσοδα,583000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202 ΦΠΑ στα οχήματα
22,Έσοδα,583000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202001 ΦΠΑ στα οχήματα
23,Έσοδα,342000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203 ΦΠΑ στην αιθυλική αλκοόλη
24,Έσοδα,342000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203001 ΦΠΑ στην αιθυλική αλκοόλη
25,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
26,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204001 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
27,Έσοδα,630000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205 ΦΠΑ καπνικών προϊόντων
28,Έσοδα,607000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205001 ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.
29,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205002 ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες
30,Έσοδα,85000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206 ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
31,Έσοδα,81000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206001 ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS
32,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206002 ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements
33,Έσοδα,3939000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
34,Έσοδα,7172000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11103 Ειδικοί φόροι κατανάλωσης
35,Έσοδα,95000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301 ΕΦΚ υγραερίων
36,Έσοδα,92000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301001 ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.
37,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301002 ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα
38,Έσοδα,2066000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302 ΕΦΚ βενζινών
39,Έσοδα,2066000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302001 ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.
40,Έσοδα,1449000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303 ΕΦΚ diesel κίνησης
41,Έσοδα,1244000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303001 ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.
42,Έσοδα,205000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303002 ΕΦΚ diesel κίνησης   - εισαγόμενα προϊόντα
43,Έσοδα,253000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304 ΕΦΚ diesel θέρμανσης
44,Έσοδα,193000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304001 ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.
45,Έσοδα,60000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304002 ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα
46,Έσοδα,164000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
47,Έσοδα,164000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305001 ΕΦΚ στην ηλεκτρική ενέργεια
48,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306 ΕΦΚ στο φυσικό αέριο
49,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306001 ΕΦΚ στο φυσικό αέριο
50,Έσοδα,38000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
51,Έσοδα,35000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309001 ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.
52,Έσοδα,2334000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310 ΕΦΚ στα προϊόντα καπνού
53,Έσοδα,2308000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310001 ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.
54,Έσοδα,26000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310002 ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες
55,Έσοδα,353000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
56,Έσοδα,207000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312 ΕΦΚ στη μπύρα
