# line,type,amount,ministry,source
1,Έσοδα,62055000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11. Φόροι  »
2,Έσοδα,60000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12. Κοινωνικές εισφορές »
3,Έσοδα,8131000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13. Μεταβιβάσεις »
4,Έσοδα,2405000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14. Πωλήσεις αγαθών και υπηρεσιών »
5,Έσοδα,2775000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15. Λοιπά τρέχοντα έσοδα »
6,Έσοδα,37000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31. Πάγια Περιουσιακά Στοιχεία »
7,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43. Χρεωστικοί τίτλοι  »
8,Έσοδα,20000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,44. Δάνεια    »
9,Έσοδα,467000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,»
10,Έσοδα,66000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52. Υποχρεώσεις από νόμισμα και καταθέσεις  »
11,Έσοδα,25973000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53. Χρεωστικοί τίτλοι (υποχρεώσεις) »
12,Έσοδα,1202027000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54. Δάνεια  »
13,Έσοδα,800000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,57. Χρηματοοικονομικά παράγωγα »
14,Έξοδα,14889199000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,21. Παροχές σε εργαζομένους »
15,Έξοδα,425136000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,22. Κοινωνικές παροχές »
16,Έξοδα,34741365000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,23. Μεταβιβάσεις »
17,Έξοδα,2039542000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,24. Αγορές αγαθών και υπηρεσιών »
18,Έξοδα,80630000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,25. Επιδοτήσεις »
19,Έξοδα,7701101000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,26. Τόκοι »
20,Έξοδα,101553000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,27. Λοιπές δαπάνες »
21,Έξοδα,17283053000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,29. Πιστώσεις υπό κατανομή »
22,Έξοδα,2609600000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31. Πάγια περιουσιακά στοιχεία »
23,Έξοδα,85000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,33. Τιμαλφή »
24,Έξοδα,3741000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,44. Δάνεια   »
25,Έξοδα,1755112000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,»
26,Έξοδα,19375000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53. Χρεωστικοί τίτλοι (υποχρεώσεις) »
27,Έξοδα,1203165130000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54. Δάνεια »
28,Έσοδα,3080506000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Κάλυψη με χρήση ταμειακών διαθεσίμων
29,Έσοδα,4638000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Προεδρία της Δημοκρατίας 4.638.000 0
30,Έσοδα,171950000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Βουλή των Ελλήνων 169.950.000 2.000.000
31,Έσοδα,41689000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Προεδρία της Κυβέρνησης 37.689.000 4.000.000
32,Έσοδα,1307609637000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργεία 1.293.515.637.000 14.094.000.000
33,Έσοδα,3830276000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Εσωτερικών 3.449.276.000 381.000.000
34,Έσοδα,420237000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Εξωτερικών 390.237.000 30.000.000
35,Έσοδα,6130000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Εθνικής Άμυνας 6.061.000.000 69.000.000
36,Έσοδα,7177424000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Υγείας 6.608.424.000 569.000.000
37,Έσοδα,650803000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Δικαιοσύνης 577.803.000 73.000.000
38,Έσοδα,6606000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,"Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού 5.594.000.000 1.012.000.000"
39,Έσοδα,575419000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Πολιτισμού  257.419.000 318.000.000
40,Έσοδα,1246518464000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Εθνικής Οικονομίας και Οικονομικών 1.243.381.464.000 3.137.000.000
41,Έσοδα,1281403000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων 222.403.000 1.059.000.000
42,Έσοδα,2341227000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Περιβάλλοντος και Ενέργειας 319.227.000 2.022.000.000
43,Έσοδα,18678084000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης 18.215.084.000 463.000.000
44,Έσοδα,3989553000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Κοινωνικής Συνοχής και Οικογένειας 3.786.553.000 203.000.000
45,Έσοδα,818045000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Ανάπτυξης 123.045.000 695.000.000
46,Έσοδα,2694810000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Υποδομών και Μεταφορών 881.810.000 1.813.000.000
47,Έσοδα,651864000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης 336.864.000 315.000.000
48,Έσοδα,189293000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Τουρισμού 39.293.000 150.000.000
49,Έσοδα,1073928000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Ψηφιακής Διακυβέρνησης 151.928.000 922.000.000
50,Έσοδα,475871000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Μετανάστευσης και Ασύλου 141.871.000 334.000.000
51,Έσοδα,2285820000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Προστασίας του Πολίτη 2.217.820.000 68.000.000
52,Έσοδα,1221116000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας 760.116.000 461.000.000
53,Έσοδα,79592000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Αποκεντρωμένες Διοικήσεις  79.592.000 0
54,Έσοδα,13091000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Αποκεντρωμένη Διοίκηση Αττικής 13.091.000 0
55,Έσοδα,10579000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας 10.579.000  0
56,Έσοδα,9943000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,9.943.000  0
57,Έσοδα,14918000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14.918.000  0
58,Έσοδα,6188000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Αποκεντρωμένη Διοίκηση Αιγαίου 6.188.000  0
59,Έσοδα,6497000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,Αποκεντρωμένη Διοίκηση Κρήτης 6.497.000  0
