# Line,Country,Population,Total Revenue,Total Expenditure,Balance%GDP,GDP,Public Debt,Interest Payments,Direct Taxes to Revenue,Indirect Taxes to Revenue,Non-tax revenue,Health exp.,Education exp.,Defense exp.,Infrastructure exp.,Investment
1,Italy,
2,Portugal,10.4,133761,132899,0.3,2.1,93.3,7192,32862,37802,20877,1134,360,214,330,4529
3,Ireland
4,Spain,
5,France,
6,Germany,
7,United States of America
8,Japan
9,Turkey
10,South Korea
11,Australia,
12,Morocco
13,Brazil
14,Tunise
15,South Africa
16,Mexico
17,England
18,Sweden
19,Austria 
20,Malta
