# line,type,amount,ministry,source
1,Έσοδα,47228000000,-,11 Φόροι
2,Έσοδα,26400000000,-,111 Φόροι επί αγαθών και υπηρεσιών
3,Έσοδα,10553000000,-,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
4,Έσοδα,25000000,-,1110102 ΦΠΑ στις νέες οικοδομές
5,Έσοδα,10528000000,-,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
6,Έσοδα,5603000000,-,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
7,Έσοδα,2041000000,-,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
8,Έσοδα,328000000,-,1110202 ΦΠΑ στα οχήματα
9,Έσοδα,270000000,-,1110203 ΦΠΑ στην αιθυλική αλκοόλη
10,Έσοδα,23000000,-,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
11,Έσοδα,658000000,-,1110205 ΦΠΑ καπνικών προϊόντων
12,Έσοδα,2283000000,-,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
13,Έσοδα,7206000000,-,11103 Ειδικοί φόροι κατανάλωσης
14,Έσοδα,110000000,-,1110301 ΕΦΚ υγραερίων
15,Έσοδα,2163000000,-,1110302 ΕΦΚ βενζινών
16,Έσοδα,1541000000,-,1110303 ΕΦΚ diesel κίνησης
17,Έσοδα,296000000,-,1110304 ΕΦΚ diesel θέρμανσης
18,Έσοδα,172000000,-,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
19,Έσοδα,35000000,-,1110306 ΕΦΚ στο φυσικό αέριο
20,Έσοδα,41000000,-,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
21,Έσοδα,2183000000,-,1110310 ΕΦΚ στα προϊόντα καπνού
22,Έσοδα,299000000,-,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
23,Έσοδα,200000000,-,1110312 ΕΦΚ στη μπύρα
24,Έσοδα,148000000,-,1110314 Φόρος κατανάλωσης στον καφέ
25,Έσοδα,4000000,-,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
26,Έσοδα,9000000,-,1110317 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε
27,Έσοδα,5000000,-,1110318 Ειδικός φόρος πολυτελείας εμπορευμάτων
28,Έσοδα,322000000,-,11104 Φόροι με μορφή χαρτοσήμου
29,Έσοδα,138000000,-,1110401 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
30,Έσοδα,1000000,-,1110402 Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις
31,Έσοδα,53000000,-,1110403 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
32,Έσοδα,130000000,-,1110489 Λοιπά τέλη χαρτοσήμου
33,Έσοδα,468000000,-,11105 Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
34,Έσοδα,64000000,-,1110501 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
