# line,type,amount,ministry,source
1,Έσοδα,43587000000,-,11 Φόροι
2,Έσοδα,23796000000,-,111 Φόροι επί αγαθών και υπηρεσιών
3,Έσοδα,9983000000,-,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
4,Έσοδα,2000000,-,1110102 ΦΠΑ στις νέες οικοδομές
5,Έσοδα,9981000000,-,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
6,Έσοδα,4915000000,-,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
7,Έσοδα,1607000000,-,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
8,Έσοδα,278000000,-,1110202 ΦΠΑ στα οχήματα
9,Έσοδα,203000000,-,1110203 ΦΠΑ στην αιθυλική αλκοόλη
10,Έσοδα,12000000,-,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
11,Έσοδα,619000000,-,1110205 ΦΠΑ καπνικών προϊόντων
12,Έσοδα,2196000000,-,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
13,Έσοδα,6599000000,-,11103 Ειδικοί φόροι κατανάλωσης
14,Έσοδα,94000000,-,1110301 ΕΦΚ υγραερίων
15,Έσοδα,1905000000,-,1110302 ΕΦΚ βενζινών
16,Έσοδα,1319000000,-,1110303 ΕΦΚ diesel κίνησης
17,Έσοδα,457000000,-,1110304 ΕΦΚ diesel θέρμανσης
18,Έσοδα,159000000,-,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
19,Έσοδα,32000000,-,1110306 ΕΦΚ στο φυσικό αέριο
20,Έσοδα,38000000,-,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
21,Έσοδα,2063000000,-,1110310 ΕΦΚ στα προϊόντα καπνού
22,Έσοδα,226000000,-,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
23,Έσοδα,160000000,-,1110312 ΕΦΚ στη μπύρα
24,Έσοδα,129000000,-,1110314 Φόρος κατανάλωσης στον καφέ
25,Έσοδα,4000000,-,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
26,Έσοδα,8000000,-,1110317 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε
27,Έσοδα,5000000,-,1110318 Ειδικός φόρος πολυτελείας εμπορευμάτων
28,Έσοδα,290000000,-,11104 Φόροι με μορφή χαρτοσήμου
29,Έσοδα,129000000,-,1110401 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
30,Έσοδα,1000000,-,1110402 Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις
31,Έσοδα,47000000,-,1110403 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
32,Έσοδα,113000000,-,1110489 Λοιπά τέλη χαρτοσήμου
33,Έσοδα,388000000,-,11105 Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
34,Έσοδα,56000000,-,1110501 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
35,Έσοδα,219000000,-,1110502 Φόρος στη μεταβίβαση οικοδομών
36,Έσοδα,29000000,-,1110503 Φόρος στη συγκέντρωση κεφαλαίων
37,Έσοδα,7000000,-,1110504 Δικαιώματα-Τέλη άμισθων υποθηκοφυλακείων
38,Έσοδα,7000000,-,1110505 Δικαιώματα-Τέλη έμμισθων υποθηκοφυλακείων
39,Έσοδα,36000000,-,1110507 Φόρος επί των χρηματιστηριακών συναλλαγών
40,Έσοδα,34000000,-,1110589 Λοιποί Φόροι  επί χρηματοοικονομικών και κεφαλαιακών
41,Έσοδα,234000000,-,11106 Φόροι ταξινόμησης οχημάτων
42,Έσοδα,198000000,-,1110601 Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα
43,Έσοδα,28000000,-,1110602 Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα
44,Έσοδα,8000000,-,1110609 Τέλος ταξινόμησης λοιπών οχημάτων
45,Έσοδα,1330000000,-,11108 Λοιποί φόροι επί συγκεκριμένων υπηρεσιών
46,Έσοδα,5000000,-,1110801 Φόροι στα κρατικά λαχεία
47,Έσοδα,24000000,-,1110802 Φόροι στα μικτά κέρδη των καζίνο
48,Έσοδα,367000000,-,1110803 Φόροι στα μικτά κέρδη τυχερών παιγνίων
49,Έσοδα,33000000,-,1110810 Τέλη Eurocontrol
50,Έσοδα,45000000,-,1110811 Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων
51,Έσοδα,1000000,-,1110813 Τέλος ΑμεΑ στα αεροπορικά εισιτήρια
52,Έσοδα,8000000,-,1110815 Τέλος πλοίων αναψυχής και ημερόπλοιων
53,Έσοδα,455000000,-,1110820 Φόρος ασφαλίστρων
54,Έσοδα,8000000,-,1110821 Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την
55,Έσοδα,73000000,-,1110822 Τέλη συνδρομητών σταθερής τηλεφωνίας
56,Έσοδα,223000000,-,1110823 Τέλη συνδρομητών κινητής τηλεφωνίας
57,Έσοδα,7000000,-,1110824 Τέλος στη συνδρομητική Τηλεόραση
58,Έσοδα,80000000,-,1110825 Φόρος στη Διαμονή
59,Έσοδα,1000000,-,1110889 Λοιποί ειδικοί φόροι σε υπηρεσίες
60,Έσοδα,57000000,-,11109 Λοιποί Φόροι επί αγαθών
61,Έσοδα,5000000,-,1110901 Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων
62,Έσοδα,41000000,-,1110902 Ειδικοί Φόροι στη διακίνηση καυσίμων
63,Έσοδα,10000000,-,1110903 Περιβαλλοντικό τέλος πλαστικής σακούλας
64,Έσοδα,1000000,-,1110989 Λοιποί Ειδικοί Φόροι και τέλη σε προϊόντα
65,Έσοδα,286000000,-,112 Φόροι και δασμοί επί εισαγωγών
66,Έσοδα,286000000,-,11201 Δασμοί
67,Έσοδα,280000000,-,1120101 Δασμοί κοινού δασμολογίου
68,Έσοδα,6000000,-,1120102 Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί
69,Έσοδα,2804000000,-,113 Τακτικοί φόροι ακίνητης περιουσίας
70,Έσοδα,2804000000,-,11301 Τακτικοί φόροι επί της ιδιοκτησίας ακίνητης περιουσίας
71,Έσοδα,19000000,-,1130101 Φόρος στην ακίνητη περιουσία (ΦΑΠ)
72,Έσοδα,2000000,-,1130102 Ενιαίο τέλος ακινήτων
73,Έσοδα,31000000,-,1130103 Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων
74,Έσοδα,2751000000,-,1130104 Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ)
75,Έσοδα,1000000,-,1130189 Λοιποί φόροι στην ακίνητη περιουσία
76,Έσοδα,1003000000,-,114 Λοιποί φόροι επί παραγωγής
77,Έσοδα,449000000,-,11401 Επιχειρηματικές και επαγγελματικές άδειες
78,Έσοδα,399000000,-,1140101 Τέλος επιτηδεύματος
79,Έσοδα,19000000,-,1140102 Άδειες παροχής υπηρεσιών τυχερών παιγνίων
80,Έσοδα,16000000,-,1140103 Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων
81,Έσοδα,3000000,-,1140104 Έσοδα από εκδόσεις πολεοδομικών αδειών
82,Έσοδα,1000000,-,1140105 Ειδικό τέλος για άδειες λειτουργίας καζίνο
83,Έσοδα,2000000,-,1140106 Τέλη χορήγησης αδειών από τις λιμενικές αρχές
84,Έσοδα,9000000,-,1140189 Λοιπές Επιχειρηματικές και επαγγελματικές άδειες
85,Έσοδα,554000000,-,11409 Διάφοροι άλλοι φόροι επί  παραγωγής
86,Έσοδα,14000000,-,1140902 Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.)
87,Έσοδα,3000000,-,1140903 Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών
88,Έσοδα,1000000,-,1140904 Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του
89,Έσοδα,1000000,-,1140907 Κράτηση στις δαπάνες έργων  των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.
90,Έσοδα,25000000,-,1140908 Κράτηση στις συμβάσεις της Επιτροπής Προμηθειών Υγείας
91,Έσοδα,24000000,-,1140910 Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών
92,Έσοδα,461000000,-,1140911 Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της
93,Έσοδα,20000000,-,1140912 Αμοιβή χορήγησης δικαιωμάτων και προνομίων στο Διεθνή
94,Έσοδα,5000000,-,1140989 Λοιπoί φόροι επί της παραγωγής
95,Έσοδα,14220000000,-,115 Φόρος εισοδήματος
96,Έσοδα,9918000000,-,11501 Φόρος εισοδήματος πληρωτέος από Φυσικά Πρόσωπα (ΦΠ)
97,Έσοδα,2539000000,-,1150101 Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων
98,Έσοδα,526000000,-,1150102 Φόρος στο εισόδημα ΦΠ - προκαταβολή
99,Έσοδα,3775000000,-,1150103 Φόρος στο εισόδημα από μισθούς - παρακράτηση
100,Έσοδα,1710000000,-,1150104 Φόρος στο εισόδημα από συντάξεις - παρακράτηση
101,Έσοδα,693000000,-,1150105 Φόρος στο εισόδημα ΦΠ (πλην μισθών και συντάξεων) -
102,Έσοδα,258000000,-,1150106 Ειδική εισφορά αλληλεγγύης για την καταπολέμηση της
103,Έσοδα,416000000,-,1150107 Ειδική εισφορά αλληλεγγύης στα ΦΠ
104,Έσοδα,1000000,-,1150189 Λοιποί φόροι στο εισόδημα ΦΠ
105,Έσοδα,3222000000,-,11502 Φόρος εισοδήματος πληρωτέος από εταιρίες (ΝΠ)
106,Έσοδα,646000000,-,1150201 Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα -
107,Έσοδα,1931000000,-,1150202 Φόρος στο εισόδημα ΝΠ κερδοσκοπικού χαρακτήρα -
108,Έσοδα,174000000,-,1150203 Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών
109,Έσοδα,302000000,-,1150204 Φόρος στο εισόδημα κοινοπραξιών και λοιπών νομικών
110,Έσοδα,159000000,-,1150205 Φόρος επί των διανεμόμενων κερδών των ημεδαπών εταιριών
111,Έσοδα,2000000,-,1150206 Εφάπαξ φόροι εισοδήματος ΝΠ
112,Έσοδα,8000000,-,1150289 Λοιποί φόροι στο εισόδημα εταιριών
113,Έσοδα,25000000,-,11503 Φόροι επί κερδών διακράτησης
114,Έσοδα,25000000,-,1150302 Φόρος μεταβίβασης επιχειρήσεων και χρηματοοικονομικών
115,Έσοδα,109000000,-,11504 Φόροι επί κερδών από λαχεία και τυχερά παίγνια
116,Έσοδα,109000000,-,1150489 Λοιποί φόροι επί κερδών από λαχεία και τυχερά παίγνια
117,Έσοδα,50000000,-,11505 Φόρος εισοδήματος κατοίκων αλλοδαπής
118,Έσοδα,50000000,-,1150501 Φόρος εισοδήματος αλλοδαπής για πνευματικά και άλλα
119,Έσοδα,896000000,-,11506 Φόρος εισοδήματος ειδικών κατηγοριών
120,Έσοδα,143000000,-,1150601 Φόρος πλοίων
121,Έσοδα,349000000,-,"1150602 Φόρος επί των τόκων των καταθέσεων, συμφωνιών"
122,Έσοδα,7000000,-,1150604 Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού
123,Έσοδα,48000000,-,1150605 Φόρος στο εισόδημα νομικών προσώπων μη κερδοσκοπικού
124,Έσοδα,349000000,-,1150689 Λοιποί φόροι εισοδήματος ειδικών κατηγοριών
125,Έσοδα,209000000,-,116 Φόροι κεφαλαίου
126,Έσοδα,209000000,-,"11601 Φόροι κληρονομιών, γονικών παροχών και δωρεών"
127,Έσοδα,159000000,-,1160101 Φόροι και τέλη κληρονομιών
128,Έσοδα,50000000,-,"1160102 Φόροι και τέλη δωρεών, γονικών και λοιπών παροχών"
129,Έσοδα,1269000000,-,119 Λοιποί τρέχοντες φόροι
130,Έσοδα,1093000000,-,11901 Φόροι οχημάτων
131,Έσοδα,1088000000,-,1190101 Τέλη κυκλοφορίας
132,Έσοδα,5000000,-,1190189 Λοιπά τέλη και εισφορές στα οχήματα
133,Έσοδα,51000000,-,11902 Τρέχοντες φόροι επί κινητής περιουσίας
134,Έσοδα,51000000,-,1190201 Φόρος πολυτελούς διαβίωσης
135,Έσοδα,53000000,-,11903 Γενικές και ειδικές άδειες νοικοκυριών
136,Έσοδα,53000000,-,1190301 Έσοδα από ιατρικές εξετάσεις οδηγών
137,Έσοδα,72000000,-,11909 Διάφοροι άλλοι τρέχοντες φόροι
138,Έσοδα,72000000,-,1190901 Λοιπά μη ταξινομημένα φορολογικά έσοδα
139,Έσοδα,53000000,-,12 Κοινωνικές εισφορές
140,Έσοδα,53000000,-,122 Λοιπές κοινωνικές εισφορές
141,Έσοδα,53000000,-,12201 Εισφορές εργαζομένων
142,Έσοδα,1000000,-,1220101 Εισφορές εργαζομένων για συνταξιοδότηση από το Δημόσιο
143,Έσοδα,52000000,-,1220102 Εισφορές εργαζομένων για παροχές υγείας από το Δημόσιο
144,Έσοδα,6951000000,-,13 Μεταβιβάσεις
145,Έσοδα,44000000,-,131 Τρέχουσες εγχώριες μεταβιβάσεις
146,Έσοδα,44000000,-,13108 Μεταβιβάσεις από λοιπά νομικά πρόσωπα
147,Έσοδα,25000000,-,1310801 Μέρισμα ΕΕΤΤ
148,Έσοδα,19000000,-,1310889 Λοιπές μεταβιβάσεις από νομικά πρόσωπα
149,Έσοδα,178000000,-,132 Τρέχουσες μεταβιβάσεις από οργανισμούς και κράτη-μέλη της
150,Έσοδα,15000000,-,13201 Τρέχουσες μεταβιβάσεις από τα Κοινοτικά Ταμεία
151,Έσοδα,15000000,-,1320189 Λοιπές τρέχουσες μεταβιβάσεις από τα κοινοτικά ταμεία
152,Έσοδα,163000000,-,13202 Τρέχουσες μεταβιβάσεις από τα Κράτη - Μέλη της  Ε.Ε.
153,Έσοδα,151000000,-,1320201 Επιστροφή ποσών από Κεντρικές Τράπεζες της Ευρωζώνης
154,Έσοδα,12000000,-,1320202 Επιστροφή ποσών από Κεντρικές Τράπεζες της Ευρωζώνης
155,Έσοδα,8000000,-,133 Τρέχουσες μεταβιβάσεις από φορείς του εξωτερικού
156,Έσοδα,1000000,-,13301 Τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς
157,Έσοδα,1000000,-,1330189 Λοιπές τρέχουσες μεταβιβάσεις από Διεθνείς Οργανισμούς
158,Έσοδα,7000000,-,13309 Τρέχουσες μεταβιβάσεις από λοιπούς φορείς του εξωτερικού
159,Έσοδα,7000000,-,1330901 Μεταβιβάσεις από ξένες χώρες
160,Έσοδα,30000000,-,134 Επιχορηγήσεις επενδύσεων εσωτερικού
161,Έσοδα,30000000,-,13409 Λοιπές Επιχορηγήσεις επενδύσεων
162,Έσοδα,30000000,-,1340901 Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων
163,Έσοδα,6627000000,-,135 Επιχορηγήσεις επενδύσεων από την Ε.Ε.
164,Έσοδα,6627000000,-,13501 Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία
165,Έσοδα,1844000000,-,1350101 Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης
166,Έσοδα,520000000,-,1350103 Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής
167,Έσοδα,585000000,-,1350104 Απολήψεις από το Ταμείο Συνοχής
168,Έσοδα,896000000,-,1350106 Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο
169,Έσοδα,67000000,-,1350107 Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας
170,Έσοδα,45000000,-,"1350108 Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και"
171,Έσοδα,2635000000,-,1350109 Απολήψεις από το Ταμείο Ανάκαμψης και Σταθερότητας
172,Έσοδα,35000000,-,1350189 Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων
173,Έσοδα,64000000,-,139 Λοιπές κεφαλαιακές μεταβιβάσεις
174,Έσοδα,48000000,-,13901 Έσοδα από επιστροφές καταπτώσεων εγγυήσεων
175,Έσοδα,43000000,-,1390101 Έσοδα από επιστροφές καταπτώσεων εγγυήσεων
176,Έσοδα,5000000,-,1390189 Λοιπά έσοδα από καταπτώσεις εγγυήσεων
177,Έσοδα,8000000,-,13904 Έσοδα από δωρεές
178,Έσοδα,8000000,-,1390489 Έσοδα από κάθε χαριστική πράξη υπέρ του Δημοσίου
179,Έσοδα,8000000,-,13909 Έσοδα από λοιπές κεφαλαιακές μεταβιβάσεις
180,Έσοδα,8000000,-,1390902 Έσοδα από την περιέλευση αδρανών καταθέσεων στο
181,Έσοδα,595000000,-,14 Πωλήσεις αγαθών και υπηρεσιών
182,Έσοδα,1000000,-,141 Πωλήσεις αγαθών
183,Έσοδα,1000000,-,14101 Πωλήσεις αγαθών
184,Έσοδα,1000000,-,1410189 Λοιπές Πωλήσεις Αγαθών
185,Έσοδα,180000000,-,142 Παροχή υπηρεσιών
186,Έσοδα,1000000,-,14202 Παροχή υπηρεσιών εκπαίδευσης
187,Έσοδα,1000000,-,1420201 Έσοδα ΥΠΑ από παροχή υπηρεσιών εκπαίδευσης
188,Έσοδα,35000000,-,14203 Παροχή δικαστικών υπηρεσιών
189,Έσοδα,5000000,-,1420301 Δικαστικά έξοδα επιβαλλόμενα από τα ποινικά δικαστήρια
190,Έσοδα,29000000,-,1420302 Αντίτιμο δικαστικού ενσήμου σε αγωγές και προσωρινά μέτρα
191,Έσοδα,1000000,-,1420389 Λοιπά έσοδα από παροχή δικαστικών υπηρεσιών
192,Έσοδα,92000000,-,14204 Παροχή υπηρεσιών ελέγχου
193,Έσοδα,87000000,-,1420401 Έσοδα από την παροχή τελωνειακών υπηρεσιών
194,Έσοδα,3000000,-,1420402 Έσοδα από τη διενέργεια γεωτεχνικών ελέγχων
195,Έσοδα,2000000,-,1420489 Λοιπά έσοδα από υπηρεσίες ελέγχου
196,Έσοδα,30000000,-,14206 Παροχή υπηρεσιών από τα προξενεία
197,Έσοδα,30000000,-,1420601 Τέλη και λοιπά έσοδα έμμισθων προξενείων
198,Έσοδα,22000000,-,14209 Λοιπές παρεχόμενες υπηρεσίες
199,Έσοδα,3000000,-,1420901 Έσοδα ΥΠΑ από τέλη χρήσης αερολιμένων
200,Έσοδα,19000000,-,1420989 Έσοδα από προσφορά λοιπών υπηρεσιών
201,Έσοδα,22000000,-,143 Μισθώματα
202,Έσοδα,21000000,-,14301 Μισθώματα κτιρίων και υποδομών
203,Έσοδα,6000000,-,1430101 Έσοδα ΥΠΑ από Μισθώματα
204,Έσοδα,15000000,-,1430189 Λοιπά μισθώματα κτιρίων και υποδομών
205,Έσοδα,1000000,-,14309 Λοιπά μισθώματα
206,Έσοδα,1000000,-,1430901 Έσοδα από μισθώματα μέσω Εταιρείας Ακινήτων Δημοσίου
207,Έσοδα,217000000,-,144 Προμήθειες
208,Έσοδα,86000000,-,14401 Προμήθειες σε εισπράξεις-πληρωμές υπέρ τρίτων
209,Έσοδα,72000000,-,1440101 Προμήθειες είσπραξης ιδίων πόρων για λογαριασμό της Ε.Ε.
210,Έσοδα,14000000,-,1440103 Προμήθειες για βεβαίωση και είσπραξη εσόδων τρίτων
211,Έσοδα,100000000,-,14402 Προμήθειες για παροχή εγγυήσεων (πλην τραπεζών)
212,Έσοδα,85000000,-,1440201 Προμήθειες λόγω παροχής της εγγύησης του Ελληνικού
213,Έσοδα,15000000,-,1440202 Προμήθειες λόγω παροχής της Εγγύησης του Ελληνικού
214,Έσοδα,31000000,-,14403 Προμήθειες από σχήματα στήριξης τραπεζών
215,Έσοδα,3000000,-,1440302 Προμήθειες από παροχή ειδικών ομολόγων για την στήριξη
